Area,Latitude,Longitude
"Raffles Place, Cecil, Marina, People's Park",1.281631847,103.8572479
"Anson, Tanjong Pagar",1.272166563,103.8427803
"Bukit Merah, Queenstown, Tiong Bahru",1.286188716,103.8177723
"Telok Blangah, Harbourfront",1.27128209,103.8170219
"Pasir Panjang, Hong Leong Garden, Clementi New Town",1.295909499,103.777698
"High Street, Beach Road (part)",1.29257734,103.8491937
"Middle Road, Golden Mile",1.300594582,103.8582918
"Little India, Farrer Park, Jalan Besar, Lavender",1.310853081,103.8544335
"Orchard, Cairnhill, River Valley",1.302264346,103.8392342
"Ardmore, Bukit Timah, Holland Road, Tanglin",1.313139494,103.8069783
"Watten Estate, Novena, Thomson",1.333708457,103.8194332
"Balestier, Toa Payoh, Serangoon",1.327012794,103.8573667
"Macpherson, Braddell",1.334289217,103.8740794
"Geylang, Eunos",1.324518011,103.8995999
"Katong, Joo Chiat, Amber Road",1.3032394,103.8993176
"Bedok, Upper East Coast, Eastwood, Kew Drive",1.325950728,103.9468069
"Loyang, Changi",1.348583293,103.9982374
"Simei, Tampines, Pasir Ris",1.364046498,103.9421062
"Serangoon Garden, Hougang, Punggol",1.376567473,103.8967453
"Bishan, Ang Mo Kio",1.364014808,103.8350225
"Upper Bukit Timah, Clementi Park, Ulu Pandan",1.345982052,103.7812877
"Jurong, Tuas",1.334010635,103.6948448
"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",1.373601645,103.7593991
"Lim Chu Kang, Tengah",1.401837552,103.7016781
"Kranji, Woodgrove, Woodlands",1.421165105,103.7691104
"Upper Thomson, Springleaf",1.396475616,103.8186707
"Yishun, Sembawang",1.435320861,103.8373527
Seletar,1.407047867,103.8684555
